Date,Headline Mean,Body Mean,Headline Median,Body Median
2022-03-13,-0.08,-0.15,0.0,-0.88
2022-03-14,-0.13,-0.01,0.0,-0.0
2022-03-15,-0.2,-0.12,-0.15,-0.54
2022-03-16,-0.08,-0.16,0.0,-0.55
2022-03-17,-0.1,-0.24,0.0,-0.85
2022-03-18,-0.09,-0.09,0.0,-0.31
2022-03-19,-0.16,0.01,-0.05,0.29
2022-03-20,-0.12,-0.17,0.0,-0.81
2022-03-21,-0.12,-0.12,0.0,-0.6
2022-03-22,-0.19,-0.07,-0.05,-0.26
2022-03-23,-0.09,0.08,0.0,0.5
2022-03-24,-0.2,-0.1,-0.08,-0.71
2022-03-25,-0.12,-0.02,0.0,-0.14
2022-03-26,-0.11,-0.04,0.0,-0.47
2022-03-27,-0.11,-0.11,-0.03,-0.78
2022-03-28,-0.16,-0.02,-0.14,-0.29
2022-03-29,-0.07,-0.02,0.0,0.0
2022-03-30,-0.15,-0.19,-0.1,-0.85
2022-03-31,-0.08,0.02,0.0,0.26
2022-04-01,-0.12,-0.03,0.0,-0.15
2022-04-02,-0.13,-0.15,0.0,-0.86
2022-04-03,-0.08,-0.03,0.0,-0.31
2022-04-04,-0.13,-0.09,0.0,-0.63
2022-04-05,-0.23,-0.2,-0.2,-0.86
2022-04-06,-0.13,-0.16,0.0,-0.84
2022-04-07,-0.09,0.05,0.0,0.66
2022-04-08,-0.2,-0.04,0.0,-0.35
2022-04-09,-0.1,-0.03,0.0,-0.37
2022-04-10,-0.12,0.04,0.0,0.37
2022-04-11,-0.2,-0.06,0.0,-0.27
2022-04-12,-0.19,-0.26,-0.12,-0.93
2022-04-13,-0.13,-0.2,-0.04,-0.87
2022-04-14,-0.17,-0.26,0.0,-0.87
2022-04-15,-0.15,-0.01,0.0,-0.29
2022-04-16,-0.08,0.0,0.0,0.06
2022-04-17,-0.17,0.14,0.0,0.79
2022-04-18,-0.11,-0.07,0.0,-0.43
2022-04-19,-0.06,-0.06,0.0,-0.39
2022-04-20,-0.16,-0.08,-0.1,-0.28
2022-04-21,-0.17,0.02,0.0,0.15
2022-04-22,-0.16,-0.01,0.0,-0.19
2022-04-23,-0.22,-0.17,-0.15,-0.87
2022-04-24,-0.12,-0.04,0.0,-0.74
2022-04-25,-0.13,-0.08,0.0,-0.7
2022-04-26,-0.18,-0.12,-0.08,-0.75
2022-04-27,-0.13,-0.16,0.0,-0.85
2022-04-28,-0.18,-0.16,0.0,-0.78
2022-04-29,-0.15,-0.03,0.0,0.04
