Date,XLE,XLF,XLU,XLI,XLK,XLV,XLY,IYR,AAPL,XLB,XLP,SPY,^DJI,NDX,guardian_headline_mean,guardian_body_mean,guardian_headline_median,guardian_body_median,guardian_headline_min,guardian_headline_max,guardian_body_min,guardian_body_max,Huff_headline_mean,Huff_body_mean,Huff_headline_median,Huff_body_median,Huff_headline_max,Huff_body_max,Huff_headline_min,Huff_body_min,NYT_headline_mean,NYT_headline_median,NYT_body_mean,NYT_body_median,NYT_headline_max,NYT_headline_min,NYT_body_max,NYT_body_min
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,-0.01,0.0,-0.0,-0.78,0.72,-1.0,1.0,-0.12,-0.06,0.0,0.0,0.74,0.3,-0.8,-0.67,-0.05,0.0,-0.03,0.0,0.88,-0.73,0.91,-0.96
2022-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2,-0.12,-0.15,-0.54,-0.93,0.79,-1.0,1.0,-0.44,-0.39,-0.46,-0.47,0.0,0.13,-0.76,-0.85,-0.09,0.0,0.02,0.0,0.84,-0.86,0.88,-0.91
2022-03-16,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.08,-0.16,0.0,-0.55,-0.82,0.69,-1.0,1.0,0.1,-0.09,0.0,-0.13,0.51,0.4,-0.25,-0.56,-0.06,0.0,-0.0,0.0,0.86,-0.8,0.88,-0.9
2022-03-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1,-0.24,0.0,-0.85,-0.83,0.77,-1.0,1.0,-0.2,-0.14,-0.03,-0.03,0.56,0.0,-0.9,-0.49,-0.02,0.0,-0.05,0.0,0.61,-0.84,0.82,-0.89
2022-03-18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.09,-0.09,0.0,-0.31,-0.89,0.81,-1.0,1.0,-0.35,-0.3,-0.32,-0.22,-0.15,0.0,-0.6,-0.76,-0.06,0.0,-0.05,-0.08,0.83,-0.82,0.86,-0.97
2022-03-21,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.12,-0.12,0.0,-0.6,-0.91,0.72,-1.0,1.0,0.01,-0.13,0.03,-0.24,0.56,0.61,-0.57,-0.64,-0.08,0.0,0.05,0.0,0.83,-0.87,0.91,-0.96
2022-03-22,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.19,-0.07,-0.05,-0.26,-0.89,0.7,-1.0,1.0,-0.17,-0.35,-0.38,-0.38,0.42,0.2,-0.48,-0.9,0.01,0.0,-0.07,0.0,0.81,-0.84,0.88,-0.97
2022-03-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,0.0,0.5,-0.86,0.66,-1.0,1.0,0.27,-0.38,0.48,-0.3,0.7,0.0,-0.4,-0.74,0.0,0.0,0.04,0.0,0.79,-0.83,0.92,-0.88
2022-03-24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2,-0.1,-0.08,-0.71,-0.89,0.61,-1.0,1.0,0.11,-0.03,0.0,0.0,0.34,0.0,0.0,-0.08,0.03,0.0,0.05,0.0,0.84,-0.86,0.88,-0.94
2022-03-25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.12,-0.02,0.0,-0.14,-0.84,0.83,-1.0,1.0,0.08,0.16,0.14,0.37,0.56,0.69,-0.62,-0.76,-0.08,0.0,0.16,0.25,0.83,-0.81,0.92,-0.91
2022-03-28,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.16,-0.02,-0.14,-0.29,-0.89,0.73,-1.0,1.0,-0.03,0.57,-0.03,0.57,-0.03,0.57,-0.03,0.57,0.1,0.0,0.12,0.0,0.64,-0.94,0.84,-0.93
