Date,Headline Max,Headline Min,Body Max,Body Min
2022-03-13,0.836,-0.8625,0.9517,-0.8555
2022-03-14,0.8807,-0.7269,0.9136,-0.9559
2022-03-15,0.8402,-0.8591,0.875,-0.9136
2022-03-16,0.8555,-0.802,0.8807,-0.9038
2022-03-17,0.6124,-0.8402,0.8225,-0.891
2022-03-18,0.8271,-0.8176,0.8625,-0.9652
2022-03-19,0.8176,-0.9118,0.6908,-0.8658
2022-03-20,0.9081,-0.891,0.9274,-0.9201
2022-03-21,0.8316,-0.8689,0.9136,-0.9628
2022-03-22,0.8126,-0.836,0.875,-0.9741
2022-03-23,0.7906,-0.8271,0.9186,-0.8779
2022-03-24,0.8402,-0.8555,0.8779,-0.9442
2022-03-25,0.8271,-0.8074,0.9169,-0.91
2022-03-26,0.7783,-0.8225,0.8658,-0.8519
2022-03-27,0.6486,-0.8316,0.7968,-0.8968
2022-03-28,0.6369,-0.9403,0.8442,-0.93
2022-03-29,0.9042,-0.8271,0.9505,-0.8834
2022-03-30,0.8402,-0.8555,0.9349,-0.886
2022-03-31,0.6369,-0.8625,0.8957,-0.8957
2022-04-01,0.7906,-0.8316,0.93,-0.8625
2022-04-02,0.8402,-0.8225,0.8074,-0.8834
2022-04-03,0.5994,-0.6908,0.8748,-0.9108
2022-04-04,0.7184,-0.9274,0.9521,-0.8957
2022-04-05,0.7964,-0.8658,0.9052,-0.9501
2022-04-06,0.9349,-0.8481,0.9136,-0.91
2022-04-07,0.7845,-0.8689,0.891,-0.9595
2022-04-08,0.8126,-0.8225,0.8625,-0.9477
2022-04-09,0.7579,-0.8074,0.6705,-0.8979
2022-04-10,0.7906,-0.8519,0.886,-0.8519
2022-04-11,0.8316,-0.7906,0.743,-0.886
2022-04-12,0.7579,-0.9001,0.8658,-0.9022
2022-04-13,0.8555,-0.9217,0.9136,-0.9042
2022-04-14,0.6369,-0.8047,0.8225,-0.8074
2022-04-15,0.8225,-0.8625,0.9169,-0.9217
2022-04-16,0.7345,-0.8271,0.8381,-0.9081
2022-04-17,0.8316,-0.8402,0.7096,-0.9528
2022-04-18,0.802,-0.7579,0.8515,-0.8625
2022-04-19,0.8555,-0.8271,0.8934,-0.9517
2022-04-20,0.6369,-0.9062,0.8689,-0.8898
2022-04-21,0.8176,-0.8402,0.875,-0.8481
2022-04-22,0.7717,-0.8225,0.7351,-0.9022
2022-04-23,0.8316,-0.8481,0.743,-0.8225
2022-04-24,0.6369,-0.8442,0.8555,-0.9246
