Date,Headline Mean,Headline Median,Body Mean,Body Median,Headline Max,Headline Min,Body Max,Body Min
2022-03-13,-0.11,0.0,0.22,0.25,0.84,-0.86,0.95,-0.86
2022-03-14,-0.05,0.0,-0.03,0.0,0.88,-0.73,0.91,-0.96
2022-03-15,-0.09,0.0,0.02,0.0,0.84,-0.86,0.88,-0.91
2022-03-16,-0.06,0.0,-0.0,0.0,0.86,-0.8,0.88,-0.9
2022-03-17,-0.02,0.0,-0.05,0.0,0.61,-0.84,0.82,-0.89
2022-03-18,-0.06,0.0,-0.05,-0.08,0.83,-0.82,0.86,-0.97
2022-03-19,-0.12,-0.05,-0.11,0.0,0.82,-0.91,0.69,-0.87
2022-03-20,0.0,0.0,0.0,0.0,0.91,-0.89,0.93,-0.92
2022-03-21,-0.08,0.0,0.05,0.0,0.83,-0.87,0.91,-0.96
2022-03-22,0.01,0.0,-0.07,0.0,0.81,-0.84,0.88,-0.97
2022-03-23,0.0,0.0,0.04,0.0,0.79,-0.83,0.92,-0.88
2022-03-24,0.03,0.0,0.05,0.0,0.84,-0.86,0.88,-0.94
2022-03-25,-0.08,0.0,0.16,0.25,0.83,-0.81,0.92,-0.91
2022-03-26,0.13,0.0,0.35,0.37,0.78,-0.82,0.87,-0.85
2022-03-27,-0.09,0.0,0.06,0.05,0.65,-0.83,0.8,-0.9
2022-03-28,0.1,0.0,0.12,0.0,0.64,-0.94,0.84,-0.93
2022-03-29,0.02,0.0,0.08,0.03,0.9,-0.83,0.95,-0.88
2022-03-30,-0.06,0.0,0.03,0.0,0.84,-0.86,0.93,-0.89
2022-03-31,0.02,0.0,-0.01,0.0,0.64,-0.86,0.9,-0.9
2022-04-01,-0.02,0.0,-0.08,-0.03,0.79,-0.83,0.93,-0.86
2022-04-02,0.02,0.0,0.09,0.05,0.84,-0.82,0.81,-0.88
2022-04-03,-0.03,0.0,-0.26,-0.25,0.6,-0.69,0.87,-0.91
2022-04-04,0.1,0.0,0.15,0.19,0.72,-0.93,0.95,-0.9
2022-04-05,0.0,0.0,0.06,0.0,0.8,-0.87,0.91,-0.95
2022-04-06,-0.01,0.0,0.08,0.0,0.93,-0.85,0.91,-0.91
2022-04-07,-0.07,0.0,0.11,0.0,0.78,-0.87,0.89,-0.96
2022-04-08,-0.08,0.0,-0.04,-0.12,0.81,-0.82,0.86,-0.95
2022-04-09,-0.4,-0.4,-0.08,-0.08,0.76,-0.81,0.67,-0.9
2022-04-10,-0.01,0.0,-0.08,0.0,0.79,-0.85,0.89,-0.85
2022-04-11,-0.06,-0.05,-0.15,0.0,0.83,-0.79,0.74,-0.89
2022-04-12,-0.03,0.0,0.27,0.34,0.76,-0.9,0.87,-0.9
2022-04-13,0.03,0.0,0.05,0.0,0.86,-0.92,0.91,-0.9
2022-04-14,-0.07,0.0,0.05,0.0,0.64,-0.8,0.82,-0.81
2022-04-15,-0.04,0.0,-0.07,0.0,0.82,-0.86,0.92,-0.92
2022-04-16,-0.05,0.0,0.14,0.02,0.73,-0.83,0.84,-0.91
2022-04-17,0.04,0.0,-0.03,0.0,0.83,-0.84,0.71,-0.95
2022-04-18,0.12,0.0,-0.02,0.0,0.8,-0.76,0.85,-0.86
2022-04-19,-0.02,0.0,-0.02,0.0,0.86,-0.83,0.89,-0.95
2022-04-20,-0.04,0.0,-0.01,0.0,0.64,-0.91,0.87,-0.89
2022-04-21,0.04,0.0,0.03,0.0,0.82,-0.84,0.88,-0.85
2022-04-22,-0.04,0.0,-0.11,-0.18,0.77,-0.82,0.74,-0.9
2022-04-23,0.15,0.0,-0.02,0.0,0.83,-0.85,0.74,-0.82
2022-04-24,0.06,0.0,0.14,0.0,0.64,-0.84,0.86,-0.92
2022-04-25,0.05,0.0,0.19,0.0,0.85,-0.8,0.91,-0.94
2022-04-26,0.0,0.0,-0.03,0.0,0.84,-0.85,0.9,-0.89
2022-04-27,0.01,0.0,0.13,0.2,0.82,-0.86,0.86,-0.97
2022-04-28,-0.03,0.0,0.18,0.0,0.83,-0.88,0.86,-0.91
2022-04-29,-0.0,0.0,-0.1,0.0,0.8,-0.86,0.79,-0.89
2022-04-30,-0.16,0.0,-0.09,0.0,0.67,-0.84,0.81,-0.93
2022-05-01,0.16,0.0,0.15,0.0,0.69,-0.84,0.79,-0.92
2022-05-02,-0.08,-0.06,0.0,0.0,0.67,-0.84,0.95,-0.89
2022-05-03,-0.04,0.0,0.2,0.34,0.86,-0.84,0.78,-0.87
2022-05-04,0.01,0.0,0.15,0.0,0.65,-0.82,0.94,-0.86
2022-05-05,0.03,0.0,0.09,0.0,0.77,-0.92,0.92,-0.96
2022-05-06,0.07,0.0,-0.01,0.0,0.84,-0.81,0.86,-0.89
